unix,date,symbol,open,high,low,Price,Telapsed
1639764000,17/12/2021 18:00,BTC/EUR,41471.01,41804.06,41385.81,41757.1,1312.5000
1639767600,17/12/2021 19:00,BTC/EUR,41769.64,41834.11,41473.27,41567.48,1312.5417
1639771200,17/12/2021 20:00,BTC/EUR,41546.09,41630.52,41051.53,41131.76,1312.5833
1639774800,17/12/2021 21:00,BTC/EUR,41086.54,41912.66,41027.75,41723.08,1312.6250
1639778400,17/12/2021 22:00,BTC/EUR,41681.54,41790.12,40605.8,41426.59,1312.6667
1639782000,17/12/2021 23:00,BTC/EUR,41427.22,41432.48,41051.53,41078.11,1312.7083
1639785600,18/12/2021 00:00,BTC/EUR,41098.48,41333.62,40769.56,41256.23,1312.7500
1639789200,18/12/2021 01:00,BTC/EUR,41271.67,41308.2,40662.76,40690.55,1312.7917
1639792800,18/12/2021 02:00,BTC/EUR,40675.53,40953.71,40521.74,40691.29,1312.8333
1639796400,18/12/2021 03:00,BTC/EUR,40717.62,41432.91,40689.62,41234.22,1312.8750
1639800000,18/12/2021 04:00,BTC/EUR,41209.7,41407.78,41046.74,41320.72,1312.9167
1639803600,18/12/2021 05:00,BTC/EUR,41330.3,41725.69,41189.4,41503.42,1312.9583
1639807200,18/12/2021 06:00,BTC/EUR,41489.03,41641.82,41191.02,41254.72,1313.0000
1639810800,18/12/2021 07:00,BTC/EUR,41254.72,41377.75,41229.49,41295.75,1313.0417
1639814400,18/12/2021 08:00,BTC/EUR,41293.69,41541.21,41139.53,41262.01,1313.0833
1639818000,18/12/2021 09:00,BTC/EUR,41268.52,41682.11,41251.89,41678.78,1313.1250
1639821600,18/12/2021 10:00,BTC/EUR,41659.77,42125.79,41561.37,42113.1,1313.1667
1639825200,18/12/2021 11:00,BTC/EUR,42104.3,42142.15,41794.51,41943.07,1313.2083
1639828800,18/12/2021 12:00,BTC/EUR,41943.07,42020.8,41789.86,41888.6,1313.2500
1639832400,18/12/2021 13:00,BTC/EUR,41907.61,41945.77,41482.63,41563.12,1313.2917
1639836000,18/12/2021 14:00,BTC/EUR,41563.08,41906.8,41501.28,41881,1313.3333
1639839600,18/12/2021 15:00,BTC/EUR,41884.26,42042,41727.06,41766.76,1313.3750
1639843200,18/12/2021 16:00,BTC/EUR,41732.13,41855.48,41647.92,41669.78,1313.4167
1639846800,18/12/2021 17:00,BTC/EUR,41696.43,41736.8,41510.65,41521.49,1313.4583
1639850400,18/12/2021 18:00,BTC/EUR,41571.42,41656.05,41538.92,41625.78,1313.5000
1639854000,18/12/2021 19:00,BTC/EUR,41622.7,41622.7,41271.53,41530.31,1313.5417
1639857600,18/12/2021 20:00,BTC/EUR,41531.49,41746.04,41425.05,41732.03,1313.5833
1639861200,18/12/2021 21:00,BTC/EUR,41735.25,41832.34,41631.79,41812.95,1313.6250
1639864800,18/12/2021 22:00,BTC/EUR,41805.91,41932.8,41549.2,41639.7,1313.6667
1639868400,18/12/2021 23:00,BTC/EUR,41576.5,41843.87,41530.59,41698.5,1313.7083
1639872000,19/12/2021 00:00,BTC/EUR,41698.5,41733.83,41468.97,41561.31,1313.7500
1639875600,19/12/2021 01:00,BTC/EUR,41561.31,41694.16,41341.13,41494.66,1313.7917
1639879200,19/12/2021 02:00,BTC/EUR,41469.68,42015.26,41459.08,41990.85,1313.8333
1639882800,19/12/2021 03:00,BTC/EUR,41986.64,42693.97,41956.52,42489.26,1313.8750
1639886400,19/12/2021 04:00,BTC/EUR,42514.28,42796.49,42514.28,42652.31,1313.9167
1639890000,19/12/2021 05:00,BTC/EUR,42650.11,42764.72,42326.06,42365.18,1313.9583
1639893600,19/12/2021 06:00,BTC/EUR,42348.14,42420.29,42235.62,42263.96,1314.0000
1639897200,19/12/2021 07:00,BTC/EUR,42261.78,42471.23,42211.33,42313.39,1314.0417
1639900800,19/12/2021 08:00,BTC/EUR,42312.88,42402.42,42185,42251.18,1314.0833
1639904400,19/12/2021 09:00,BTC/EUR,42268.01,42334.26,41867.98,41934.23,1314.1250
1639908000,19/12/2021 10:00,BTC/EUR,41934.23,42036.1,41682.11,41942.92,1314.1667
1639911600,19/12/2021 11:00,BTC/EUR,41960.46,42008.05,41796,41983.89,1314.2083
1639915200,19/12/2021 12:00,BTC/EUR,41987.57,42080.13,41748.76,42028.82,1314.2500
1639918800,19/12/2021 13:00,BTC/EUR,42063.02,42473.2,41732.82,42360.12,1314.2917
1639922400,19/12/2021 14:00,BTC/EUR,42396.89,42972,41843.53,42204.3,1314.3333
1639926000,19/12/2021 15:00,BTC/EUR,42183.59,42266.27,41939.74,42033.25,1314.3750
1639929600,19/12/2021 16:00,BTC/EUR,42036.34,42244.31,41938.61,41969.25,1314.4167
1639933200,19/12/2021 17:00,BTC/EUR,41969.25,42031.5,41832.34,41938.33,1314.4583
1639936800,19/12/2021 18:00,BTC/EUR,41950.86,41997.91,41714.72,41941.83,1314.5000
1639940400,19/12/2021 19:00,BTC/EUR,41917.78,41974.58,41428.26,41561.7,1314.5417
1639944000,19/12/2021 20:00,BTC/EUR,41558.75,41748.7,41370.83,41638.76,1314.5833
1639947600,19/12/2021 21:00,BTC/EUR,41614.1,41729.3,41525.52,41596.54,1314.6250
1639951200,19/12/2021 22:00,BTC/EUR,41562.84,42334.62,41537.29,42153.88,1314.6667
1639954800,19/12/2021 23:00,BTC/EUR,42121.17,42192.7,41480.41,41562.11,1314.7083
1639958400,20/12/2021 00:00,BTC/EUR,41508.96,41682.11,41135.85,41682.11,1314.7500
1639962000,20/12/2021 01:00,BTC/EUR,41666.22,41983.11,41383.25,41517.13,1314.7917
1639965600,20/12/2021 02:00,BTC/EUR,41463.51,41668.97,41366.76,41547.25,1314.8333
1639969200,20/12/2021 03:00,BTC/EUR,41571.11,41640.1,41333.65,41525.7,1314.8750
1639972800,20/12/2021 04:00,BTC/EUR,41487.71,41804.64,41487.71,41777.94,1314.9167
1639976400,20/12/2021 05:00,BTC/EUR,41754.02,41823.32,41214,41266.33,1314.9583
1639980000,20/12/2021 06:00,BTC/EUR,41262.4,41480.15,41106.37,41405.41,1315.0000
1639983600,20/12/2021 07:00,BTC/EUR,41369.05,41390.14,40999,41274.45,1315.0417
1639987200,20/12/2021 08:00,BTC/EUR,41244.89,41370.85,40938.98,41056.62,1315.0833
1639990800,20/12/2021 09:00,BTC/EUR,41072.05,41076.92,40666.74,40675.87,1315.1250
1639994400,20/12/2021 10:00,BTC/EUR,40695.47,40966.7,40639.45,40716.99,1315.1667
1639998000,20/12/2021 11:00,BTC/EUR,40738.85,40949.47,40653.04,40900.17,1315.2083
1640001600,20/12/2021 12:00,BTC/EUR,40900.08,40904.7,40500,40596.82,1315.2500
1640005200,20/12/2021 13:00,BTC/EUR,40585.17,40815.52,40450.94,40489.85,1315.2917
1640008800,20/12/2021 14:00,BTC/EUR,40502.38,41000,40354.04,41000,1315.3333
1640012400,20/12/2021 15:00,BTC/EUR,41000,41000,40662.07,40750.42,1315.3750
1640016000,20/12/2021 16:00,BTC/EUR,40745.92,41212.47,40622.54,41077.28,1315.4167
1640019600,20/12/2021 17:00,BTC/EUR,41116.2,41188.74,40875.53,40875.53,1315.4583
1640023200,20/12/2021 18:00,BTC/EUR,40889.48,41074.98,40799.85,41018.14,1315.5000
1640026800,20/12/2021 19:00,BTC/EUR,41027.21,41399.42,40986.46,41338.07,1315.5417
1640030400,20/12/2021 20:00,BTC/EUR,41336.24,41898.85,41331.22,41703.11,1315.5833
1640034000,20/12/2021 21:00,BTC/EUR,41694.31,42156.65,41636.16,41640.32,1315.6250
1640037600,20/12/2021 22:00,BTC/EUR,41681.02,41777.06,41432.92,41432.92,1315.6667
1640041200,20/12/2021 23:00,BTC/EUR,41453.14,41791.79,41447.9,41564.05,1315.7083
1640044800,21/12/2021 00:00,BTC/EUR,41587.7,41773.68,41472.58,41501.29,1315.7500
1640048400,21/12/2021 01:00,BTC/EUR,41500.51,41675.31,41374.28,41619.77,1315.7917
1640052000,21/12/2021 02:00,BTC/EUR,41607.21,41709.99,41562.22,41619.82,1315.8333
1640055600,21/12/2021 03:00,BTC/EUR,41592.01,42624,41590.22,42472.26,1315.8750
1640059200,21/12/2021 04:00,BTC/EUR,42524.41,43250,42516.13,43082.19,1315.9167
1640062800,21/12/2021 05:00,BTC/EUR,43078.89,43225.47,42831.12,43078.92,1315.9583
1640066400,21/12/2021 06:00,BTC/EUR,43066.18,43139,42857.1,43060.13,1316.0000
1640070000,21/12/2021 07:00,BTC/EUR,43028.52,43135.39,42896.55,43070.79,1316.0417
1640073600,21/12/2021 08:00,BTC/EUR,43070.79,43410,42943.53,42988.84,1316.0833
1640077200,21/12/2021 09:00,BTC/EUR,43010.57,43108.34,42878.3,43050.21,1316.1250
1640080800,21/12/2021 10:00,BTC/EUR,43048.84,43200,42996.77,43100.19,1316.1667
1640084400,21/12/2021 11:00,BTC/EUR,43119.84,43350.44,43081.18,43324,1316.2083
1640088000,21/12/2021 12:00,BTC/EUR,43327.53,43729.39,43119.53,43167.62,1316.2500
1640091600,21/12/2021 13:00,BTC/EUR,43157.19,43387.44,43031.55,43360.23,1316.2917
1640095200,21/12/2021 14:00,BTC/EUR,43338.87,43418.68,43058.9,43166.86,1316.3333
1640098800,21/12/2021 15:00,BTC/EUR,43162.97,43307.9,42847.85,42979.78,1316.3750
